time,relativehumidity,dewpointtemperature,precipitation,sunshinetime,felttemperature,ghi_backwards,pictocode,snowfraction,isdaylight,highclouds,cape,referenceevapotranspiration_fao,gust,winddirection,liftedindex,windspeed,precipitation_spread,totalcloudcover,windspeed_spread,visibility,skintemperature,precipitation_probability,evapotranspiration,totalcloudcover_spread,uvindex,lowclouds,temperature,midclouds,sealevelpressure,temperature_spread,extraterrestrialradiation_backwards
2026-03-09 00:00:00.000,61,2.25,0.0,47,6.9,335.0,4,0.0,1,5,15,0.14,3.05,226,16.18,0.96,0.0,19,0.36,17630,12.31,0,0.06,10,1,19,9.33,19,1024,0.16,513.67
2026-03-09 01:00:00.000,55,1.89,0.0,22,7.47,546.0,8,0.0,1,37,16,0.25,4.42,258,15.29,1.4,0.0,58,0.39,17630,13.84,0,0.08,13,1,55,10.27,58,1024,0.18,751.44
2026-03-09 02:00:00.000,52,1.52,0.0,5,8.19,668.63,21,0.0,1,79,17,0.31,5.38,274,14.17,1.95,0.0,85,0.43,18030,14.66,0,0.1,17,2,57,10.74,85,1024,0.21,933.83
2026-03-09 03:00:00.000,50,1.18,0.0,0,8.18,701.79,22,0.0,1,100,19,0.33,6.2,302,14.19,2.44,0.0,100,0.5,18420,14.18,0,0.11,19,4,46,10.98,100,1024,0.25,1048.43
2026-03-09 04:00:00.000,49,0.82,0.0,0,7.37,634.46,22,0.0,1,79,14,0.31,7.08,312,14.07,2.89,0.0,99,0.59,19830,16.71,0,0.14,14,4,41,10.93,99,1023,0.3,1087.43
2026-03-09 05:00:00.000,48,0.54,0.0,22,6.5,528.57,8,0.0,1,38,13,0.26,7.69,316,13.96,3.25,0.0,59,0.7,20420,17.33,0,0.16,8,4,32,10.82,59,1023,0.36,1048.21
2026-03-09 06:00:00.000,48,0.21,0.0,43,6.14,570.39,4,0.0,1,7,12,0.27,7.65,316,13.04,3.43,0.0,26,0.78,20820,16.0,0,0.15,5,3,26,10.53,1,1022,0.4,933.43
2026-03-09 07:00:00.000,49,-0.09,0.0,36,5.53,485.35,4,0.0,1,0,13,0.23,7.7,315,13.03,3.49,0.0,36,0.81,22420,13.91,0,0.13,9,2,36,10.11,1,1023,0.42,750.95
2026-03-09 08:00:00.000,50,-0.32,0.0,26,5.02,257.9,7,0.0,1,0,20,0.14,7.41,315,12.34,3.26,0.0,52,0.83,22620,10.99,0,0.1,16,1,52,9.48,27,1023,0.42,513.22
2026-03-09 09:00:00.000,51,-0.59,0.0,25,4.46,67.97,7,0.0,1,0,28,0.07,6.9,312,11.34,2.95,0.0,54,0.85,21030,6.97,0,0.05,22,0,54,8.74,47,1023,0.44,236.46
2026-03-09 10:00:00.000,53,-0.74,0.0,11,4.03,2.61,7,0.0,0,0,40,0.06,6.28,301,10.3,2.59,0.0,46,0.86,18230,3.97,0,0.01,21,0,46,8.08,38,1023,0.5,31.65
2026-03-09 11:00:00.000,55,-0.71,0.0,0,3.74,0.0,4,0.0,0,0,63,0.03,5.34,300,9.96,2.21,0.01,38,0.86,17710,3.9,0,0.0,18,0,38,7.52,21,1024,0.57,0.0
2026-03-09 12:00:00.000,58,-0.57,0.0,0,3.48,0.0,4,0.0,0,0,66,0.02,5.2,326,9.96,1.94,0.01,39,0.86,19110,3.48,0,0.0,16,0,39,7.05,29,1024,0.61,0.0
2026-03-09 13:00:00.000,60,-0.38,0.0,0,3.14,0.0,7,0.0,0,0,89,0.02,6.86,335,9.4,1.93,0.02,54,0.83,20070,6.42,0,0.0,17,0,54,6.67,47,1024,0.61,0.0
2026-03-09 14:00:00.000,63,-0.15,0.0,0,2.61,0.0,7,0.0,0,0,120,0.02,8.16,352,9.17,2.28,0.04,51,0.8,19480,7.42,19,0.02,19,0,51,6.35,46,1024,0.58,0.0
2026-03-09 15:00:00.000,66,0.24,0.0,0,2.16,0.0,7,0.0,0,0,119,0.02,6.6,5,10.67,2.58,0.05,61,0.78,18480,6.32,19,0.03,20,0,61,6.06,34,1024,0.55,0.0
2026-03-09 16:00:00.000,68,0.5,0.0,0,1.91,0.0,7,0.0,0,0,108,0.02,6.81,9,11.27,2.74,0.07,51,0.8,16090,6.0,20,0.02,17,0,51,5.87,6,1024,0.53,0.0
2026-03-09 17:00:00.000,70,0.72,0.0,0,1.62,0.0,7,0.0,0,0,98,0.02,7.26,4,11.6,2.88,0.08,55,0.83,15090,5.97,39,0.02,12,0,55,5.65,6,1024,0.51,0.0
2026-03-09 18:00:00.000,72,0.95,0.0,0,1.44,0.0,7,0.0,0,0,86,0.02,7.35,3,11.5,2.96,0.09,63,0.86,15490,5.9,31,0.02,10,0,63,5.49,12,1024,0.5,0.0
2026-03-09 19:00:00.000,74,1.21,0.0,0,1.35,0.0,7,0.0,0,0,77,0.01,7.12,10,11.1,2.86,0.08,60,0.89,15890,5.77,31,0.02,11,0,60,5.29,5,1024,0.49,0.0
2026-03-09 20:00:00.000,77,1.4,0.0,0,1.28,0.0,7,0.0,0,0,72,0.01,6.54,30,10.67,2.7,0.07,64,0.92,16080,5.75,13,0.02,13,0,64,5.08,1,1025,0.49,0.0
2026-03-09 21:00:00.000,77,1.54,0.0,0,1.49,0.0,7,0.0,0,0,70,0.01,6.05,48,10.87,2.56,0.06,69,0.94,15880,5.66,13,0.02,16,0,69,5.16,4,1025,0.52,0.0
2026-03-09 22:00:00.000,73,1.47,0.0,4,2.26,3.25,7,0.0,1,0,72,0.03,6.32,55,11.18,2.4,0.05,74,0.96,16440,6.28,4,0.02,15,0,74,5.84,7,1025,0.61,34.86
2026-03-09 23:00:00.000,66,1.24,0.0,14,3.48,75.19,7,0.0,1,0,71,0.05,6.74,68,11.4,2.3,0.04,71,0.97,17840,8.05,2,0.04,15,0,71,7.01,0,1026,0.72,243.17
2026-03-10 00:00:00.000,59,0.86,0.0,15,4.59,220.34,7,0.0,1,0,72,0.11,7.55,73,11.51,2.32,0.03,70,0.94,18220,9.67,1,0.05,16,0,70,8.2,4,1026,0.8,519.99
2026-03-10 01:00:00.000,54,0.38,0.0,22,5.27,374.33,7,0.0,1,0,65,0.18,6.64,64,11.78,2.46,0.03,59,0.85,18430,10.82,1,0.07,20,1,59,9.05,0,1026,0.8,757.55
2026-03-10 02:00:00.000,50,-0.01,0.0,28,5.73,489.17,7,0.0,1,0,55,0.24,6.57,52,11.78,2.67,0.04,48,0.73,19030,12.0,1,0.09,26,2,48,9.73,0,1026,0.77,939.68
2026-03-10 03:00:00.000,47,-0.38,0.0,24,6.47,622.83,7,0.0,1,0,54,0.29,6.55,42,11.58,2.8,0.04,55,0.64,20430,16.71,1,0.15,30,3,55,10.22,0,1026,0.74,1053.97
2026-03-10 04:00:00.000,45,-0.75,0.0,24,6.69,626.29,7,0.0,1,0,40,0.3,6.34,35,11.36,2.83,0.03,55,0.64,20430,17.03,1,0.16,29,3,55,10.5,0,1025,0.74,1092.65
2026-03-10 05:00:00.000,44,-1.02,0.0,27,6.4,533.57,7,0.0,1,0,25,0.27,6.28,29,11.36,2.79,0.02,51,0.69,21230,16.5,0,0.16,27,3,51,10.64,0,1025,0.75,1053.09
2026-03-10 06:00:00.000,43,-1.28,0.0,35,6.31,473.21,4,0.0,1,0,14,0.24,6.15,26,11.3,2.72,0.01,38,0.72,21030,15.26,0,0.15,24,4,38,10.53,0,1024,0.74,938.02
